Link,Username,Description,Likes,Comments,Location
https://www.instagram.com/p/CrZxnuyocmZ/,christopherraunleth_cph,Almost like snow #kongenshave #spring #parkmuseerne #spring #springtime #copenhagen #denmark #igdaily #igers #igerscopenhagen #igersdenmark #photography #photooftheday #instagood #instadaily #nikon #nikonphotography #nikond850  #ukraine #putinswar #ukrainewar #standwithukraine #slavaukraini 🇺🇦🇺🇦🇺🇦,277,3,Kongens Have
https://www.instagram.com/p/CqnyK7BrlQm/,zelensky_volodymyr_olena,"Family 🌠

Follow me on @zelensky_volodymyr_olena

#zelensky #zelenskiy #zelenskiy_official #volodymyrzelensky #olenazelenska #slavaukraini #зеленський #славаукраїні #оленазеленська #володимирзеленський",10644,77,None
https://www.instagram.com/p/CrOrGigIarT/,ellie.on.the.road,"Grüße gehen raus! 💙💛❤️
Khersonska Oblast, Ukraine, April 2023.
Wir hören uns die Tage!
#helpisontheway",966,41,Ukraina
https://www.instagram.com/p/Cq3iYEDOa5n/,zelensky.land,"🫡
.
.
.
.
.
#zelenskiy #zelenskyy #zelenskiy_official #zelensky #zelenski #volodimirzelenski #volodymyrzelensky #volodymyrzelenskyy #presidentzelenskiy #presidentzelenskyy #presidentzelensky #ukraina #ukraine #kiev #slavaukraini #glorytoukraine #зеленский #зеленський #зеленскийпрезидент #зеленскийвладимир #вовазеленский #владимирзеленский #володимирзеленський #украина #україна #президент #президентукраины #славаукраїні #киев",1368,8,None
https://www.instagram.com/p/CrfhUg-rpTI/,zutphenaanzee,"Stop The War.
#stopthewar #slavaukraini #peaceforall #rust #steel #metal #decay #constructionsite #industry #circles #hole #escape #trees #green #black",13,1,None
https://www.instagram.com/p/CrbBIyTsqyH/,christopherraunleth_cph,Blooming magnolia and Marble Church #magnolia #marblechurch #marmorkirken #spring #springtime #copenhagen #denmark #igdaily #igers #igerscopenhagen #igersdenmark #photography #photooftheday #instagood #instadaily #nikon #nikonphotography #nikond850  #ukraine #putinswar #ukrainewar #standwithukraine #slavaukraini 🇺🇦🇺🇦🇺🇦,263,4,Marmorkirken
https://www.instagram.com/p/CqunOo5rMS0/,zelensky.land,"🫡
.
.
.
.
.

#zelenskiy #zelenskyy #zelenskiy_official #zelensky #zelenski #volodimirzelenski #volodimirzelensky #volodymyrzelensky #volodymyrzelenskyy #ukraina #ukraine #presidentzelenskyy #presidentzelenskiy #presidentzelensky #k#kiev #зеленский #зеленський #зеленскийпрезидент #зеленскийвладимир #вовазеленский #владимирзеленский #володимирзеленський #украина #україна #президент #президентукраїни #славаукраїні #квартал95 #slavaukraini",1252,3,None
https://www.instagram.com/p/Crd_wHFqiY0/,asocial_sociopath_,#ukraine #happyday #slavaukraini #putinhuylo🇺🇦🇺🇦🇺🇦 #insta #liker #photo #instagood #instagram #photootheday #oficial #photoukraine #myukraine #weekendtime #life #lifestyle #face #faceapp #netflix #netflixmovies #fox #easter,19,0,None
https://www.instagram.com/p/CrcwOKktBHe/,zutphenaanzee,"Stop The War.
#stopthewar #slavaukraini #peaceforall #rust #steel #metal #decay #constructionsite #industry #brick #windows #closed #closedwindows #broken #mess #rebuild #poland",40,5,None
https://www.instagram.com/p/Crf5LTiIJYC/,mystik_fire,"M8l8th is a band that I almost never hear people talk about. M8l8th is pretty much the slavic version of Peste Noire in a way, which seems like a fitting description as this features Famine on vocals on a few songs. 

The only thing that takes getting use to is the vocals, the clean vocals are solid and fit the music, as well as the low vocals. What about the screams? Well, he sounds like a Banshee taking off, but you get used to it, maybe...

The main thing with this record is the fact that these guys are unreal musicians. The music sounds fucking incredible in my opinion... 

If you like KPN definitely give these guys a chance..

#nowplaying 

Hails.

#moloth #m8l8tx #pestenoire #blackmetal #blackmetalvinyl #blackmetalmusic #blackmetalband #blackmetalart #slavaukraini",15,0,None
https://www.instagram.com/p/Crf1D5INHQt/,tatilukianova,"Мрійте і нехай збувається! Навіть якщо не збудеться, все одно мрійте! Сон - це стан польоту, як на мене.🫣🫠🧚
#budapest #hungary #parlament #lovetobehere #myway #slavaukraini #slavazsu #всебудеукраїна 🇺🇦",20,2,Parlament Budapest
https://www.instagram.com/p/Crf1FvJLWl2/,zelenskyy.stan,"🇺🇦🇺🇦🇺🇦
.
.
.
#volodymyrzelensky #volodymyrzelenskyy #zelensky #zelenskyy #zelenskiy #president #presidentzelenskyy #ukraine #slavaukraini #ВолодимирЗеленський #helpukraine #fckptn #СлаваУкраїні #glorytoukraine #standwithukraine #armukrainenow #stopputin #stoprussia #russiaisaterroriststate #героямслава #слуганарода #зеленський #президент #киев #київ #kyiv #украина #зеленский #95квартал  #zelenskiy_official",89,2,None
https://www.instagram.com/p/Crf06VFt_Ur/,maksimdonets.ua,"🇺🇦🇺🇦🇺🇦
.
.
.
#MaksimDonets #максимдонець #bodyguard #security #securityguard #military #personalbodyguard #volodymyrzelensky #volodymyrzelenskyy #volodymyrzelenskiy #zelensky #zelenskyy #zelenskiy #president #ukraine #slavaukraini #heroyamslava #ВолодимирЗеленський #stopwar #helpukraine #fckptn #СлаваУкраїні #героямслава #glorytoukraine #ruhmderukraine #standwithukraine #armukrainenow #stopputin #stoprussia #russiaisaterroriststate",93,3,None
https://www.instagram.com/p/Crf0bp0N_eS/,freddie.wouldgo,"London, 11.04.23.
.
.
.
.
#streetart #london #londonist #eastlondon #streetartlondon #stopwar #slavaukraini #fckptn #uk #londonlovers",4,0,None
https://www.instagram.com/p/CrfzayHNXO3/,philiplebutt,"Excellent beef borsch at @the___borsch 

#slavaukraini #borsch #ukranianfood #prague #foodie #foodporn #travel #travelgram #praguetoday #praguefood #praguelife",9,0,None
https://www.instagram.com/p/Crfyz3YoHrp/,hrabinavalgodescu,"Wiosna, nareszcie 💚

Tak, Hrabina wie, że Wy też wychodzicie z domu, a przynajmniej wyglądacie przez okna i wiecie, jak wygląda obecnie świat 😉

Wiosna to ulubiona pora roku Hrabiny 😍 Jeszcze nie ma upałów, natura budzi się do życia, w powietrzu pachnie świeżością (w tym miejscu Hrabina jest wdzięczna losowi/Panbukowi/Opatrzności, że nie jest alergikiem). Nawet te cholerne PITy nie są w stanie zniszczyć Hrabinie przyjemności doświadczania wiosny 😜

Dziś szybkie śniadanie, więc sadzone, które się same robią, a Hrabina się szykuje w tym czasie do wyjścia. Czas dziś gonił, bo jakby było mało pitowego zamieszania, to jeszcze trzeba się douczyć, bo za chwilę kolejne ""pity"", zusowskie, tzw. DRAPIT, po raz pierwszy w tym roku, a oczywiście pytań wciąż więcej niż odpowiedzi, więc się szkolimy 👩‍💻👩‍🏫

💙💛🇺🇦💙💛🇺🇦💙💛🇺🇦💙💛🇺🇦
#slavaukraini #wolnaukraina #freeukraine #chwałaukrainie #chwałabohaterom 

#śniadanie #breakfast #jajka #sadzone #rukola #fastfood #szybkieśniadanie 

#wiosna #spring #nareszcie 

#biurorachunkowe #księgowość #rachunkowość #podatki #usługiksięgowe #księgowa #kadrowa #kadryipłace #kadry #płace #pit #cit #vat #drapit #akcjapity",4,0,None
https://www.instagram.com/p/CrfyGP3NyIE/,hobotraveling,"“Now I am become Death, the destroyer of worlds.” -Oppenheimer 
#Kyiv #Ukraine #slavaukraini",2,0,Kijów
https://www.instagram.com/p/CrfyEdVNFLL/,yuliia_redka,"Цей дощ - як душ. Цей день такий ласкавий.
Сади цвітуть. В березах бродить сік.
Це солов""їна опера, Ла Скала!
Чорнобиль. Зона. Двадцять перший вік.

Тут по дворах стоїть бузкова повінь.
Тут ті бузки проламують тини.
Тут щука йде, немов підводний човен,
І прилітають гуси щовесни.

Але кленочки проросли крізь ганки.
Жив-був народ над Прип""яттю - і зник.
В Рудому лісі виросли поганки,
і ходить Смерть, єдиний тут грибник.
Ліна КОСТЕНКО",21,2,None
https://www.instagram.com/p/Crfx-T9ILxx/,my.place.ozerna.film,"Moja Ozerna - My Place Ozerna in great section PERSISTER -  WOMEN SPEAKING UP AND BEING HEARD at Hot Docs Canadian International Documentary Festival. So honor to be there!

International Premiere coming soon! 28th April at SCOTIA 7 cinema in Toronto. 

@hotdocs_ @monikabraid @pisf_pl @tvp document @kff Sales& Promotion @doclabpoland

#SlavaUkraini #documentaryfilm",3,1,Toronto
https://www.instagram.com/p/Crfxo7PLMZF/,zelensky.land,"🇺🇦 ❤️‍🩹
.
.
.
.
. 
.
#zelenskiy #zelenskyy #zelenskiy_official #zelensky #zelenski #presidentzelenskyy #presidentzelenskiy #presidentzelensky #ukraina #ukraine #kiev #kvartal95 #volodimirzelenski #volodymyrzelensky #volodymyrzelenskyy #slavaukraini #glorytoukraine #зеленский #зеленський #зеленскийпрезидент #зеленскийвладимир #вовазеленский #владимирзеленский #володимирзеленський #президент #президентукраины #украина #україна #славаукраїні #киев",32,0,Kijów
https://www.instagram.com/p/CrftBeBNPhn/,pinapicierno,"“L'Italia esprime il forte convincimento favorevole all'ingresso dell'Ucraina nell'Unione Europea nel più breve tempo possibile”

L’Ucraina è l’Europa, l’Europa è l’Ucraina. 
Grazie, Presidente Mattarella, per queste parole. 

#SlavaUkraini",42,2,None
https://www.instagram.com/p/Crfs1g8s3YO/,tsunoda.paris,"Slava ukraini.......

#slavaukraini #gloryukraine🇺🇦🇺🇦 
#standwithukraine #ukraine 
#peaceforukraine #stopputin 
#stoprussia #givepeaceachance 
#stoprussia",9,0,None
